R,G,bestF,avgF
5,176,323.0,321.014
5,177,323.0,321.034
5,178,323.0,320.97
5,179,323.0,320.75
5,180,323.0,320.694
5,181,323.0,320.85
5,182,323.0,320.654
5,183,323.0,320.732
5,184,323.0,320.584
5,185,323.0,320.598
5,186,323.0,320.556
5,187,323.0,320.656
5,188,323.0,320.752
5,189,323.0,320.8
5,190,323.0,320.82
5,191,323.0,320.816
5,192,323.0,320.754
5,193,323.0,321.04
5,194,323.0,320.932
5,195,323.0,321.008
5,196,323.0,320.92
5,197,323.0,320.86
5,198,323.0,320.762
5,199,323.0,320.878
6,0,302.0,284.432
6,1,306.0,287.318
6,2,303.0,289.276
6,3,305.0,290.296
6,4,306.0,291.55
6,5,306.0,293.128
6,6,305.0,293.568
6,7,307.0,294.736
6,8,310.0,295.904
6,9,309.0,297.042
6,10,311.0,297.94
6,11,313.0,298.88
6,12,312.0,299.714
6,13,311.0,300.482
6,14,312.0,301.14
6,15,315.0,302.42
6,16,314.0,303.458
6,17,314.0,304.36
6,18,315.0,305.448
6,19,316.0,306.446
6,20,317.0,307.228
6,21,319.0,308.26
6,22,317.0,308.794
6,23,317.0,309.394
6,24,319.0,310.29
6,25,320.0,310.978
6,26,320.0,311.438
6,27,321.0,312.488
6,28,320.0,313.244
6,29,320.0,313.836
6,30,321.0,314.488
6,31,322.0,315.038
6,32,322.0,315.732
6,33,322.0,316.06
6,34,322.0,316.722
6,35,323.0,317.204
6,36,323.0,317.65
6,37,323.0,318.194
6,38,323.0,318.62
6,39,323.0,319.136
6,40,323.0,319.184
6,41,323.0,319.364
6,42,323.0,319.586
6,43,323.0,319.604
6,44,323.0,319.712
6,45,323.0,319.62
6,46,323.0,319.614
6,47,323.0,319.932
6,48,323.0,320.15
6,49,323.0,320.064
6,50,323.0,320.068
6,51,323.0,320.252
6,52,323.0,320.314
6,53,323.0,320.51
6,54,323.0,320.664
6,55,323.0,320.656
6,56,323.0,320.702
6,57,323.0,320.61
6,58,323.0,320.644
6,59,323.0,320.69
6,60,323.0,320.72
6,61,323.0,320.794
6,62,323.0,320.802
6,63,323.0,320.67
6,64,323.0,320.844
6,65,323.0,320.86
6,66,323.0,320.746
6,67,323.0,320.876
6,68,323.0,320.74
6,69,323.0,320.854
6,70,323.0,320.742
6,71,323.0,320.864
6,72,323.0,320.976
6,73,323.0,320.866
6,74,323.0,320.838
6,75,323.0,320.832
6,76,323.0,320.84
6,77,323.0,320.898
6,78,323.0,320.896
6,79,323.0,320.976
6,80,323.0,321.092
6,81,323.0,321.072
6,82,323.0,320.906
6,83,323.0,320.72
6,84,323.0,320.782
6,85,323.0,320.678
6,86,323.0,320.742
6,87,323.0,320.87
6,88,323.0,320.792
6,89,323.0,320.786
6,90,323.0,320.784
6,91,323.0,320.794
6,92,323.0,320.916
6,93,323.0,320.862
6,94,323.0,320.822
6,95,323.0,320.884
6,96,323.0,320.75
6,97,323.0,320.666
6,98,323.0,320.868
6,99,323.0,320.894
6,100,323.0,320.822
6,101,323.0,320.942
6,102,323.0,320.946
6,103,323.0,321.048
6,104,323.0,321.008
6,105,323.0,320.97
6,106,323.0,321.032
6,107,323.0,320.706
6,108,323.0,320.818
6,109,323.0,320.774
6,110,323.0,320.768
6,111,323.0,320.806
6,112,323.0,320.82
6,113,323.0,320.838
6,114,323.0,320.874
6,115,323.0,320.902
6,116,323.0,320.98
6,117,323.0,321.05
6,118,323.0,321.03
6,119,323.0,321.046
6,120,323.0,321.104
6,121,323.0,321.074
6,122,323.0,321.036
6,123,323.0,320.964
6,124,323.0,320.938
6,125,323.0,320.826
6,126,323.0,320.66
6,127,323.0,320.802
6,128,323.0,320.948
6,129,323.0,320.724
6,130,323.0,320.92
6,131,323.0,320.796
6,132,323.0,320.77
6,133,323.0,320.902
6,134,323.0,320.73
6,135,323.0,320.842
6,136,323.0,320.84
6,137,323.0,320.862
6,138,323.0,320.838
6,139,323.0,320.63
6,140,323.0,320.824
6,141,323.0,320.686
6,142,323.0,320.748
6,143,323.0,320.764
6,144,323.0,320.766
6,145,323.0,320.922
6,146,323.0,320.818
6,147,323.0,321.002
6,148,323.0,320.954
6,149,323.0,320.706
6,150,323.0,320.994
6,151,323.0,321.06
6,152,323.0,320.968
6,153,323.0,320.946
6,154,323.0,321.002
6,155,323.0,320.946
6,156,323.0,320.76
6,157,323.0,320.756
6,158,323.0,320.886
6,159,323.0,321.116
